Class_Label,lemmatized_tokens
Fraudulent,"['mail', 'intended', 'cause', 'embarrassment', 'whatever', 'form', 'must', 'solicit', 'know', 'pro']"
Fraudulent,"['minister', 'foreign', 'affair', 'ministry', 'office', 'monitor', 'control', 'affair', 'bank', 'financial', 'institution', 'concerned', 'foreign', 'contract', 'payment']"
Fraudulent,"['street', 'island']"
Fraudulent,['de']
Fraudulent,"['complex', 'director', 'project', 'department', 'national', 'petroleum', 'corporation', 'head', 'seven', 'man', 'tender', 'bo']"
Fraudulent,"['good', 'day', 'god', 'name', 'god', 'almighty', 'former', 'hasan', 'hasan', 'widow', 'late', 'hasan', 'muhammadi']"
Fraudulent,[]
Fraudulent,"['got', 'information', 'death', 'next', 'kin', 'come', 'claim', 'money', 'can', 'not', 'release']"
Fraudulent,"['greeting', 'decided', 'contact', 'feel', 'bin', 'director', 'procurement', 'contract', 'award', 'wit']"
Fraudulent,"['dear', 'want', 'solicit', 'assistance', 'regard', 'son', 'one', 'foremost', 'rich', 'black', 'farmer', 'land', 'dispute']"
Fraudulent,"['union', 'bank', 'fraudulent', 'bank', 'island', 'reply', 'box', 'business', 'must', 'solicit']"
Fraudulent,"['would', 'like', 'apply', 'medium', 'secure', 'opportunity', 'invest', 'joint', 'business', 'substantial', 'capital', 'intend']"
Fraudulent,"['dear', 'friend', 'believe', 'treat', 'mail', 'fear', 'god', 'tear', 'writing', 'mail', 'dont', 'need', 'pity', 'love', 'son', 'mail']"
Fraudulent,"['fraudulent', 'investment', 'delight', 'pleasure', 'inform']"
Fraudulent,"['dear', 'good', 'compliment', 'day', 'best', 'wish', 'know', 'letter', 'come', 'surprisingly', 'let', 'surprise', 'nature', 'way']"
Fraudulent,"['dear', 'name', 'branch', 'manager', 'zenith', 'bank', 'branch', 'trust', 'confidence', 'writing', 'mail', 'would', 'like']"
